TEAM_ABBREVIATION,GAMES_PLAYED,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,AVG_PTS,AVG_REB,AVG_AST,AVG_PLUS_MINUS,AVG_EFFICIENCY,AST_TO_RATIO
BOS,5,508.0,206.0,121.0,31.0,27.0,51.0,9.76923076923077,3.9615384615384617,2.326923076923077,1.1538461538461537,11.442307692307692,2.372549019607843
DAL,5,496.0,216.0,84.0,29.0,11.0,55.0,8.0,3.4838709677419355,1.3548387096774193,-0.967741935483871,8.451612903225806,1.5272727272727273
