GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS
42300402,1610612742,DAL,1629655,Daniel Gafford,C,22:43,13.0,9.0,0.0,0.0,1.0,0.0,6.0,9.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,2.0,7.0,0.0,0.0
42300402,1610612742,DAL,202681,Kyrie Irving,G,41:27,16.0,2.0,6.0,0.0,0.0,2.0,7.0,18.0,0.389,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,-3.0
42300402,1610612742,DAL,1629029,Luka Dončić,G,42:17,32.0,11.0,11.0,4.0,0.0,8.0,12.0,21.0,0.571,4.0,9.0,0.444,4.0,8.0,0.5,0.0,11.0,1.0,-3.0
42300402,1610612742,DAL,1641726,Dereck Lively II,,19:01,2.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,-15.0
42300402,1610612742,DAL,1628467,Maxi Kleber,,16:17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0
42300402,1610612742,DAL,1630182,Josh Green,,13:40,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,2.0,3.0,0.667,0.0,1.0,2.0,-10.0
42300402,1610612742,DAL,1630702,Jaden Hardy,,1:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
42300402,1610612742,DAL,203957,Danté Exum,,10:30,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
42300402,1610612742,DAL,203501,Tim Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,DAL,1630639,A.J. Lawson,,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,DAL,202693,Markieff Morris,,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,DAL,203939,Dwight Powell,,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,DAL,1641765,Olivier-Maxence Prosper,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1627759,Jaylen Brown,F,42:25,21.0,4.0,7.0,3.0,0.0,6.0,8.0,15.0,0.533,1.0,5.0,0.2,4.0,4.0,1.0,2.0,2.0,3.0,-3.0
42300402,1610612738,BOS,1628369,Jayson Tatum,F,45:09,18.0,9.0,12.0,1.0,0.0,3.0,6.0,22.0,0.273,1.0,7.0,0.143,5.0,6.0,0.833,1.0,8.0,2.0,6.0
42300402,1610612738,BOS,201143,Al Horford,C,28:07,5.0,7.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,2.0,1.0
42300402,1610612738,BOS,1628401,Derrick White,G,38:05,18.0,5.0,2.0,3.0,2.0,1.0,6.0,15.0,0.4,4.0,10.0,0.4,2.0,2.0,1.0,2.0,3.0,2.0,8.0
42300402,1610612738,BOS,201950,Jrue Holiday,G,40:42,26.0,11.0,3.0,1.0,1.0,0.0,11.0,14.0,0.786,2.0,4.0,0.5,2.0,2.0,1.0,4.0,7.0,3.0,6.0
42300402,1610612738,BOS,204001,Kristaps Porziņģis,,23:13,12.0,4.0,1.0,0.0,2.0,0.0,4.0,7.0,0.571,0.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,12.0
42300402,1610612738,BOS,1630573,Sam Hauser,,10:18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
42300402,1610612738,BOS,1630202,Payton Pritchard,,12:01,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,4.0
42300402,1610612738,BOS,1629052,Oshae Brissett,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1628436,Luke Kornet,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1629004,Svi Mykhailiuk,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1629674,Neemias Queta,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1630531,Jaden Springer,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1630214,Xavier Tillman,,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,BOS,1641775,Jordan Walsh,,,,,,,,,,,,,,,,,,,,,
