GAME_ID,MATCHUP,SERIES_STATE,WINNER
42500401,NYK vs SAS,1-0,NYK
42500402,NYK vs SAS,2-0,NYK
42500403,NYK vs SAS,2-1,SAS
42500404,NYK vs SAS,3-1,NYK
42500405,NYK vs SAS,4-1,NYK
