GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042500401,1610612759,SAS,San Antonio,1630322,Lindy Waters III,Lindy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,18:11,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,1.0,2.0,5.0,0.0,-3.0
0042500402,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,36:48,5.0,10.0,0.5,2.0,5.0,0.4,5.0,5.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,0.0,4.0,17.0,-9.0
0042500402,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,33:56,8.0,12.0,0.667,3.0,5.0,0.6,2.0,2.0,1.0,3.0,10.0,13.0,4.0,1.0,1.0,2.0,5.0,21.0,11.0
0042500402,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,40:53,8.0,13.0,0.615,4.0,6.0,0.667,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0,1.0,2.0,20.0,7.0
0042500402,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,37:41,7.0,25.0,0.28,2.0,8.0,0.25,4.0,5.0,0.8,2.0,3.0,5.0,6.0,5.0,0.0,4.0,2.0,20.0,-10.0
0042500402,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,18:17,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,5.0,-1.0
0042500402,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,30:09,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,13.0,9.0
0042500402,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,14:03,2.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,7.0,-10.0
0042500402,1610612752,NYK,New York,1630631,Jose Alvarado,Jose,,,10:03,0.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,11.0
0042500402,1610612752,NYK,New York,203903,Jordan Clarkson,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1642885,Mohamed Diawara,Mohamed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1630574,Ariel Hukporti,Ariel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612752,NYK,New York,1631110,Jeremy Sochan,Jeremy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,F,,38:03,4.0,9.0,0.444,3.0,7.0,0.429,3.0,3.0,1.0,0.0,9.0,9.0,5.0,0.0,1.0,0.0,2.0,14.0,6.0
0042500402,1610612759,SAS,San Antonio,1630577,Julian Champagnie,Julian,F,,35:58,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,8.0,-8.0
0042500402,1610612759,SAS,San Antonio,1641705,Victor Wembanyama,Victor,C,,40:19,11.0,21.0,0.524,2.0,6.0,0.333,5.0,8.0,0.625,3.0,6.0,9.0,2.0,2.0,4.0,4.0,2.0,29.0,6.0
0042500402,1610612759,SAS,San Antonio,1642264,Stephon Castle,Stephon,G,,27:43,5.0,14.0,0.357,2.0,4.0,0.5,2.0,4.0,0.5,0.0,4.0,4.0,4.0,1.0,0.0,4.0,4.0,14.0,-6.0
0042500402,1610612759,SAS,San Antonio,1628368,De'Aaron Fox,De'Aaron,G,,33:50,8.0,12.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,1.0,1.0,4.0,2.0,20.0,2.0
0042500402,1610612759,SAS,San Antonio,1642844,Dylan Harper,Dylan,,,32:16,6.0,12.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,1.0,5.0,6.0,3.0,1.0,0.0,2.0,3.0,15.0,12.0
0042500402,1610612759,SAS,San Antonio,1629640,Keldon Johnson,Keldon,,,15:42,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,-5.0
0042500402,1610612759,SAS,San Antonio,1628436,Luke Kornet,Luke,,,7:51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,-7.0
0042500402,1610612759,SAS,San Antonio,1642868,Carter Bryant,Carter,,,3:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
0042500402,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,,,4:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
0042500402,1610612759,SAS,San Antonio,202687,Bismack Biyombo,Bismack,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612759,SAS,San Antonio,1629162,Jordan McLaughlin,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612759,SAS,San Antonio,203482,Kelly Olynyk,Kelly,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500402,1610612759,SAS,San Antonio,203486,Mason Plumlee,Mason,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
